Hora,TV (Wh),Laptops (Wh),Refri (Wh),Luces (Wh),Router (Wh),Micro (Wh),Carg. Cel. (Wh),Total Wh
00–01,1.3,0.9,114.2,0.0,9.5,2.3,36.4,164.6
01–02,1.3,0.8,108.6,0.0,9.4,2.4,18.2,140.7
02–03,1.2,0.8,112.4,1.2,9.4,2.3,4.5,131.8
03–04,1.3,0.9,238.4,0.0,9.5,2.4,0.7,253.2
04–05,1.2,0.8,118.5,0.0,9.4,2.3,0.7,132.9
05–06,1.3,0.8,115.2,0.0,9.6,2.3,0.7,129.9
06–07,1.4,0.9,126.8,15.6,10.1,2.4,0.7,157.9
07–08,1.3,58.4,154.3,22.4,10.5,59.8,12.8,319.5
08–09,1.2,124.6,162.1,8.7,10.8,2.4,0.7,310.5
09–10,1.3,138.2,141.5,0.0,11.2,2.3,0.7,295.2
10–11,1.4,142.5,138.9,0.0,11.0,2.4,0.7,296.9
11–12,1.2,131.8,149.2,4.2,10.9,2.3,0.7,300.3
12–13,1.3,64.2,178.6,13.8,11.1,98.1,19.5,386.6
13–14,1.3,59.8,172.4,9.5,11.3,2.4,0.7,257.4
14–15,1.4,71.3,146.1,0.0,10.7,2.3,0.7,232.5
15–16,1.2,66.7,139.8,0.0,10.8,2.4,0.7,221.6
16–17,1.3,82.4,144.5,0.0,11.0,2.3,0.7,242.2
17–18,1.3,61.5,151.2,18.2,11.2,2.4,0.7,246.5
18–19,116.4,134.8,163.4,36.5,11.6,79.0,21.4,563.1
19–20,121.8,128.4,182.7,48.2,11.8,2.4,32.8,528.1
20–21,119.5,146.2,194.2,64.8,11.9,213.1,38.6,788.3
21–22,123.1,112.6,168.5,52.3,11.7,2.4,24.2,494.8
22–23,114.7,42.1,142.8,23.4,10.8,2.3,31.5,367.6
23–00,68.3,1.4,122.1,8.1,10.2,2.4,37.2,249.7
Subtotal,687.0,"1,572.8","3,586.4",326.9,255.4,497.1,286.2,"7,211.8"
